"Performance Index, Trend"
"All Districts, All Schools"
"Notes:"
"The Performance Index is the average performance of students in a subject area (i.e., ELA, Mathematics or Science) on the state summative assessments."
"The Performance Index ranges from 0-100 and is reported for all students and for students in each individual student group."
"Connecticut's ultimate target for a Performance Index is 75."

"",,,,,,"2015-16",,,"2016-17",,,"2017-18",,
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","Grade","06","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","Grade","07","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","Grade","08","*","*","*","N/A","N/A","N/A","*","*","N/A"
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","Grade","10","N/A","N/A","N/A","N/A","N/A","*","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","Grade","11","*","*","N/A","*","*","N/A","*","*","N/A"
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","High Needs (F/R, EL or SWD)","High Needs","*","*","*","*","*","*","*","*","N/A"
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals","*","*","*","N/A","N/A","N/A","*","*","N/A"
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals","*","*","N/A","*","*","*","*","*","N/A"
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","Race/Ethnicity","Asian","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","Race/Ethnicity","Black or African American","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","Race/Ethnicity","Hispanic or Latino","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A"
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","Race/Ethnicity","Two or More Races","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","Race/Ethnicity","White","*","*","*","*","*","*","*","*","N/A"
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","Special Education Status (SWD)","Students with Disabilities","*","*","*","*","*","*","*","*","N/A"
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""","All Students","School",70.5,65.9,57.0,67.4,65.8,58.6,69.3,64.0,"N/A"
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""","English Language Learners (EL)","English Learners","*","*","*",54.4,56.3,"*",56.6,57.9,"N/A"
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""","English Language Learners (EL)","Not English Learners",71.3,66.7,"*",69.3,67.2,59.0,71.3,65.0,"N/A"
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""","Gender","Female",71.9,66.4,56.5,71.2,67.8,65.0,72.1,66.1,"N/A"
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""","Gender","Male",69.5,65.6,57.5,64.5,64.3,52.7,67.0,62.2,"N/A"
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""","Grade","03",67.7,63.7,"N/A",64.8,62.0,"N/A",72.3,67.9,"N/A"
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""","Grade","04",72.6,67.5,"N/A",70.7,68.8,"N/A",65.7,57.4,"N/A"
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""","Grade","05",71.2,66.5,57.0,66.9,67.0,58.6,69.8,66.7,"N/A"
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""","High Needs (F/R, EL or SWD)","High Needs",60.9,54.0,47.0,56.5,53.7,48.2,59.9,53.3,"N/A"
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""","High Needs (F/R, EL or SWD)","Not High Needs",79.8,77.3,65.6,79.5,79.2,69.1,81.4,77.6,"N/A"
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals",59.2,52.6,44.9,55.2,51.6,"*",59.0,50.7,"N/A"
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals",77.9,74.6,64.5,75.3,75.0,64.4,77.4,74.4,"N/A"
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""","Race/Ethnicity","Asian",85.4,90.8,"*","*","*","*",82.7,89.5,"N/A"
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""","Race/Ethnicity","Black or African American",57.3,52.5,"*",56.4,52.9,"*",62.0,50.6,"N/A"
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""","Race/Ethnicity","Hispanic or Latino",64.6,57.9,"*",56.9,56.2,"*",59.3,52.2,"N/A"
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""","Race/Ethnicity","Two or More Races","*","*","*","*","*","*","*","*","N/A"
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""","Race/Ethnicity","White",79.5,74.1,64.5,79.2,77.9,69.8,80.4,77.6,"N/A"
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""","Special Education Status (SWD)","Students with Disabilities",54.1,43.9,"*",45.4,43.8,"*",48.1,41.0,"N/A"
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""","Special Education Status (SWD)","Students without Disabilities",73.6,70.1,59.2,71.4,69.8,63.8,73.4,68.5,"N/A"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","All Students","School",56.9,47.2,47.3,54.2,44.2,48.6,53.0,46.5,"N/A"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","English Language Learners (EL)","English Learners","*","*","*","*","*","*","*","*","N/A"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","English Language Learners (EL)","Not English Learners","*","*",48.5,55.8,45.1,"*","*","*","N/A"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Gender","Female",59.0,48.7,50.6,57.1,46.1,47.5,53.1,46.2,"N/A"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Gender","Male",52.2,43.7,38.8,47.6,40.0,51.3,52.9,47.1,"N/A"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Grade","10","N/A","N/A",47.3,"N/A","N/A",48.6,"N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Grade","11",56.9,47.2,"N/A",54.2,44.2,"N/A",53.0,46.5,"N/A"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","High Needs (F/R, EL or SWD)","High Needs",47.0,40.9,40.6,47.5,39.5,42.5,46.8,40.7,"N/A"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","High Needs (F/R, EL or SWD)","Not High Needs",68.0,54.3,59.0,62.2,49.8,55.1,58.7,51.6,"N/A"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals",46.8,40.2,41.4,48.0,40.0,42.2,46.6,40.6,"N/A"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals",66.9,54.1,55.4,60.6,48.5,54.5,58.4,51.3,"N/A"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Race/Ethnicity","Black or African American",47.5,42.0,40.9,46.9,39.1,36.9,"*","*","N/A"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Race/Ethnicity","Hispanic or Latino",45.8,40.3,42.0,45.9,38.6,41.4,46.9,40.0,"N/A"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Race/Ethnicity","Native Hawaiian or Other Pacific Islander","N/A","N/A","*","*","*","N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Race/Ethnicity","Two or More Races","*","*","*","*","*","*","*","*","N/A"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Race/Ethnicity","White",72.3,57.0,58.3,67.7,53.3,64.5,68.4,58.7,"N/A"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Special Education Status (SWD)","Students with Disabilities","*","*","*","*","*","*","*","*","N/A"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Special Education Status (SWD)","Students without Disabilities",59.0,48.2,51.3,56.6,45.8,49.0,"*","*","N/A"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""","All Students","School",66.1,55.3,52.2,63.0,55.2,46.9,62.7,52.0,"N/A"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""","English Language Learners (EL)","English Learners","*","*","*",47.2,40.1,"*",48.4,37.6,"N/A"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""","English Language Learners (EL)","Not English Learners",67.7,56.3,"*",64.5,56.5,48.5,63.9,53.3,"N/A"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""","Gender","Female",68.4,56.3,51.9,65.5,57.0,46.2,65.2,53.9,"N/A"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""","Gender","Male",61.3,53.0,52.7,57.3,51.1,48.2,56.6,47.6,"N/A"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""","Grade","06",66.0,52.4,"N/A",62.2,53.0,"N/A",67.2,54.1,"N/A"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""","Grade","07",67.0,56.9,"N/A",63.3,53.0,"N/A",59.0,47.3,"N/A"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""","Grade","08",65.3,56.4,52.2,63.6,60.2,46.9,61.3,54.5,"N/A"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""","High Needs (F/R, EL or SWD)","High Needs",60.1,49.8,45.9,56.9,49.2,43.0,55.4,45.1,"N/A"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""","High Needs (F/R, EL or SWD)","Not High Needs",78.2,66.2,61.6,75.4,67.0,57.3,76.0,64.7,"N/A"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals",61.5,50.9,46.2,57.7,49.7,43.6,56.7,46.5,"N/A"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals",72.8,61.4,59.0,70.4,62.6,53.4,69.8,58.7,"N/A"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""","Race/Ethnicity","Asian","N/A","N/A","N/A","*","*","N/A","*","*","N/A"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""","Race/Ethnicity","Black or African American",63.5,50.1,42.0,58.7,47.6,42.3,58.1,45.7,"N/A"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""","Race/Ethnicity","Hispanic or Latino",59.9,50.1,48.0,56.7,50.1,41.7,56.8,46.8,"N/A"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""","Race/Ethnicity","Native Hawaiian or Other Pacific Islander","*","*","N/A","*","*","*","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""","Race/Ethnicity","Two or More Races","*","*","*","*","*","N/A","*","*","N/A"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""","Race/Ethnicity","White",76.8,67.4,63.5,76.6,71.2,57.1,77.0,66.8,"N/A"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""","Special Education Status (SWD)","Students with Disabilities",47.1,39.0,"*",44.8,36.6,"*",44.5,33.5,"N/A"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""","Special Education Status (SWD)","Students without Disabilities",70.8,59.2,55.3,67.7,60.0,49.3,67.5,57.1,"N/A"
"Capitol Region Education Council","=""2410014""","IPM @ Plainville High School","=""2419414""","All Students","School","*","*","*","*","*","N/A","*","*","N/A"
"Capitol Region Education Council","=""2410014""","IPM @ Plainville High School","=""2419414""","English Language Learners (EL)","Not English Learners","*","*","*","*","*","N/A","*","*","N/A"
"Capitol Region Education Council","=""2410014""","IPM @ Plainville High School","=""2419414""","Gender","Female","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A"
"Capitol Region Education Council","=""2410014""","IPM @ Plainville High School","=""2419414""","Gender","Male","*","*","*","*","*","N/A","*","*","N/A"
"Capitol Region Education Council","=""2410014""","IPM @ Plainville High School","=""2419414""","Grade","05","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","IPM @ Plainville High School","=""2419414""","Grade","07","N/A","N/A","N/A","*","*","N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","IPM @ Plainville High School","=""2419414""","Grade","08","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A"
"Capitol Region Education Council","=""2410014""","IPM @ Plainville High School","=""2419414""","Grade","11","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","IPM @ Plainville High School","=""2419414""","High Needs (F/R, EL or SWD)","High Needs","*","*","*","*","*","N/A","*","*","N/A"
"Capitol Region Education Council","=""2410014""","IPM @ Plainville High School","=""2419414""","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals","*","*","*","*","*","N/A","*","*","N/A"
"Capitol Region Education Council","=""2410014""","IPM @ Plainville High School","=""2419414""","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A"
"Capitol Region Education Council","=""2410014""","IPM @ Plainville High School","=""2419414""","Race/Ethnicity","Black or African American","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A"
"Capitol Region Education Council","=""2410014""","IPM @ Plainville High School","=""2419414""","Race/Ethnicity","White","*","*","*","*","*","N/A","*","*","N/A"
"Capitol Region Education Council","=""2410014""","IPM @ Plainville High School","=""2419414""","Special Education Status (SWD)","Students with Disabilities","*","*","*","*","*","N/A","*","*","N/A"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""","All Students","School",66.7,61.7,54.3,62.4,60.1,50.4,61.7,59.1,"N/A"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""","English Language Learners (EL)","English Learners","*","*","*",55.0,56.3,"*",54.8,54.3,"N/A"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""","English Language Learners (EL)","Not English Learners",67.8,62.9,"*",63.6,60.7,51.0,62.6,59.8,"N/A"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""","Gender","Female",70.4,63.2,55.5,70.6,63.2,54.9,64.8,60.1,"N/A"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""","Gender","Male",63.3,60.3,53.4,55.2,57.4,46.0,58.4,58.1,"N/A"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""","Grade","03",63.4,57.0,"N/A",53.9,50.9,"N/A",62.3,59.4,"N/A"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""","Grade","04",67.3,62.4,"N/A",64.8,61.1,"N/A",57.4,54.7,"N/A"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""","Grade","05",69.4,65.6,54.3,66.1,65.9,50.4,64.2,62.2,"N/A"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""","High Needs (F/R, EL or SWD)","High Needs",57.8,51.3,48.8,53.5,50.5,42.0,53.3,49.9,"N/A"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""","High Needs (F/R, EL or SWD)","Not High Needs",78.6,75.4,62.4,76.6,75.4,67.5,73.7,72.3,"N/A"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals",58.3,52.0,48.6,53.3,50.3,39.8,53.4,49.4,"N/A"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals",75.8,72.2,62.2,72.9,71.5,65.6,72.0,71.2,"N/A"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""","Race/Ethnicity","American Indian or Alaska Native","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""","Race/Ethnicity","Asian",84.9,89.3,"*","*","*","*","*","*","N/A"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""","Race/Ethnicity","Black or African American",61.4,54.8,"*",55.2,51.4,"*",58.1,54.9,"N/A"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""","Race/Ethnicity","Hispanic or Latino",60.0,52.9,48.7,56.3,52.8,44.4,55.3,51.3,"N/A"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""","Race/Ethnicity","Two or More Races","*","*","*","*","*","*","*","*","N/A"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""","Race/Ethnicity","White",74.3,69.4,"*",75.7,74.7,"*",77.4,75.1,"N/A"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""","Special Education Status (SWD)","Students with Disabilities",43.9,37.1,"*",36.8,34.1,"*",38.0,30.6,"N/A"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""","Special Education Status (SWD)","Students without Disabilities",69.6,64.8,"*",66.3,64.1,53.1,64.7,62.8,"N/A"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","All Students","School","*","*","*","*","*","*","*","*","N/A"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","English Language Learners (EL)","English Learners","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","English Language Learners (EL)","Not English Learners","*","*","*","*","*","*","*","*","N/A"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","Gender","Female","*","*","*","*","*","*","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","Gender","Male","*","*","*","*","*","*","*","*","N/A"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","Grade","03","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","Grade","06","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","Grade","07","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","Grade","08","*","*","*","*","N/A","*","*","*","N/A"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","Grade","10","N/A","N/A","*","N/A","N/A","*","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","Grade","11","*","*","N/A","*","*","N/A","*","*","N/A"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","High Needs (F/R, EL or SWD)","High Needs","*","*","*","*","*","*","*","*","N/A"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","High Needs (F/R, EL or SWD)","Not High Needs","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals","*","*","*","*","*","*","*","*","N/A"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals","N/A","N/A","*","*","*","*","*","*","N/A"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","Race/Ethnicity","Black or African American","N/A","N/A","*","*","*","*","*","*","N/A"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","Race/Ethnicity","Hispanic or Latino","*","*","*","*","*","*","*","*","N/A"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","Race/Ethnicity","Two or More Races","N/A","N/A","*","N/A","N/A","N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","Race/Ethnicity","White","*","*","*","N/A","N/A","*","*","*","N/A"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","Special Education Status (SWD)","Students with Disabilities","*","*","*","*","*","*","*","*","N/A"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","Special Education Status (SWD)","Students without Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","All Students","School","*","*","*","*","*","N/A","*","*","N/A"
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","English Language Learners (EL)","English Learners","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","English Language Learners (EL)","Not English Learners","*","*","*","*","*","N/A","*","*","N/A"
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","Gender","Female","*","*","N/A","*","*","N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","Gender","Male","N/A","N/A","*","N/A","N/A","N/A","*","*","N/A"
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","Grade","08","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","Grade","10","N/A","N/A","*","N/A","N/A","N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","Grade","11","*","*","N/A","*","*","N/A","*","*","N/A"
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","High Needs (F/R, EL or SWD)","High Needs","*","*","*","*","*","N/A","*","*","N/A"
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals","*","*","*","N/A","N/A","N/A","*","*","N/A"
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals","N/A","N/A","N/A","*","*","N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","Race/Ethnicity","Black or African American","N/A","N/A","*","N/A","N/A","N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","Race/Ethnicity","Hispanic or Latino","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A"
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","Race/Ethnicity","White","*","*","N/A","*","*","N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","Special Education Status (SWD)","Students with Disabilities","*","*","*","*","*","N/A","*","*","N/A"
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","Special Education Status (SWD)","Students without Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","All Students","School",63.1,51.1,53.6,61.3,49.3,48.7,62.3,51.1,"N/A"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","English Language Learners (EL)","English Learners","*","*","*",55.7,44.8,"*",48.1,41.1,"N/A"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","English Language Learners (EL)","Not English Learners",64.0,51.7,"*",61.6,49.6,49.1,63.1,51.7,"N/A"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Gender","Female",65.8,52.3,53.5,65.1,50.8,52.0,66.3,53.6,"N/A"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Gender","Male",60.0,49.8,53.6,56.9,47.6,45.0,57.3,48.0,"N/A"
